2026-05-16 13:58:11,388 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:58:16,625 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:58:21,730 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:58:26,831 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:58:32,046 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:58:37,249 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:58:42,340 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:58:47,568 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:58:52,668 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:58:57,764 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:59:02,963 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:59:08,078 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:59:13,192 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:59:18,287 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:59:23,408 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:59:28,752 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:59:33,970 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:59:39,079 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:59:44,196 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:59:49,867 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:59:54,985 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 14:00:00,096 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 14:00:05,317 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 14:00:11,092 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 14:00:16,226 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
